Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633923849,0646	 X: 478,673541148435 Y:104,660014789929
Timestamp: 633923865,1212	 X: 478,792609945979 Y:104,82520803079
Timestamp: 633923870,6414	 X: 479,05514811959 Y:107,245221827786
Timestamp: 633923882,2122	 X: 479,056705147473 Y:107,385069948999
Timestamp: 633923895,0993	 X: 480,104275627502 Y:109,411405612928
Timestamp: 633923903,9135	 X: 479,857046985457 Y:108,597163503427
Timestamp: 633923915,5755	 X: 479,794110148532 Y:107,788967600494
Timestamp: 633923927,1166	 X: 480,723849166544 Y:108,731802823957
Timestamp: 633923936,793	 X: 480,808647281105 Y:108,764171938733
Timestamp: 633923948,9662	 X: 481,168971538844 Y:109,922932347286
Timestamp: 633923975,1264	 X: 481,112102301605 Y:111,49736313838
Timestamp: 633923982,0865	 X: 482,162790238952 Y:113,329172288151
Timestamp: 633923993,0947	 X: 482,524229260231 Y:113,847402766147
Timestamp: 633924007,1297	 X: 482,641285093329 Y:114,597103977692
Timestamp: 633924015,3075	 X: 482,723383831245 Y:114,683048011703
Timestamp: 633924026,3111	 X: 482,623891316679 Y:116,461111945785
Timestamp: 633924039,1572	 X: 482,92942355477 Y:117,834478004147
Timestamp: 633924048,1224	 X: 483,27229217096 Y:117,955009047867
Timestamp: 633924059,6831	 X: 484,036498042016 Y:118,185733262642
Timestamp: 633924089,0787	 X: 484,352923197035 Y:117,991718638522
Timestamp: 633924092,6979	 X: 486,794304640266 Y:114,993440187566
Timestamp: 633924102,83	 X: 485,516701400862 Y:116,031928962039
Timestamp: 633924114,6846	 X: 483,019266636737 Y:118,833061536095
Timestamp: 633924125,7391	 X: 478,946502148263 Y:122,135086085635
Timestamp: 633924136,4233	 X: 479,353929856073 Y:121,737236946709
Timestamp: 633924148,4735	 X: 477,736806070081 Y:123,669755578532
Timestamp: 633924159,7522	 X: 481,087708710038 Y:124,913182364218
Timestamp: 633924170,0355	 X: 482,625029696722 Y:124,184322881783
Timestamp: 633924196,5387	 X: 494,062622649099 Y:115,310149646543
Timestamp: 633924203,5038	 X: 506,155558913907 Y:103,55629101118
Timestamp: 633924214,5165	 X: 508,347757555086 Y:101,532571348908
Timestamp: 633924226,0452	 X: 508,380907188885 Y:102,122039405923
Timestamp: 633924242,5061	 X: 507,229319735709 Y:102,914293212084
Timestamp: 633924247,6919	 X: 511,385596297857 Y:99,0386134224224
Timestamp: 633924274,5221	 X: 510,287176251246 Y:98,7399428703548
Timestamp: 633924280,9886	 X: 509,980774593479 Y:99,5642920813561
Timestamp: 633924292,715	 X: 511,783580678615 Y:97,6578887727849
Timestamp: 633924306,5198	 X: 511,775289580515 Y:95,6968707800483
Timestamp: 633924314,1378	 X: 512,813573167179 Y:97,2941397414608
Timestamp: 633924326,2061	 X: 487,670058462606 Y:93,6455802622459
